
Note: No compatibility mode selected!


Circuit: * tb_chip_spi.spice -- chip-level ngspice testbench for tr_1um_3wire_spi.

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.x2.x_70_.x2_net1                        5
xdut.x2.sr_5                       2.08524e-08
xdut.x2.x_71_.x1_net1                        5
xdut.x2.x_71_.net1                 2.19645e-08
xdut.x2.x_71_.x1_net2                        5
xdut.x2.x_71_.x1_ckp               2.08524e-08
xdut.x2.x_71_.x1_ckb                         5
xdut.x2.x_71_.x1_net3                  4.14374
xdut.x2.x_71_.x1_qm                2.60779e-08
xdut.x2.x_71_.x1_net4                        5
xdut.x2._23_                                 5
xdut.x2.x_71_.x1_qs                7.29558e-08
xdut.x2.x_71_.x1_net5              4.95168e-08
xdut.x2.x_71_.x1_net6                 0.034793
xdut.x2.x_71_.x2_sb                          5
xdut.x2.x_71_.x2_net2                        5
xdut.x2.x_71_.x2_net3                        5
xdut.x2.x_71_.x2_net1                        5
xdut.x2.sr_6                       2.08524e-08
xdut.x2.x_72_.net1                           5
xdut.x2.x_72_.net2                           5
xdut.x2.x_72_.ckp                  2.08524e-08
xdut.x2.x_72_.ckb                            5
xdut.x2.x_72_.net3                     4.14374
xdut.x2.x_72_.qm                   2.60779e-08
xdut.x2.x_72_.net4                           5
xdut.x2._24_                                 5
xdut.x2.x_72_.qs                   7.29558e-08
xdut.x2.x_72_.net5                 4.95168e-08
xdut.x2.x_72_.net6                    0.034793
xdut.x2.shift_clk_row1             2.05775e-08
xdut.x2.x_73_.net1                           5
xdut.x2.x_73_.net2                           5
xdut.x2.x_73_.ckp                  2.08524e-08
xdut.x2.x_73_.ckb                            5
xdut.x2.x_73_.net3                     4.14374
xdut.x2.x_73_.qm                   2.60779e-08
xdut.x2.x_73_.net4                           5
xdut.x2._25_                                 5
xdut.x2.x_73_.qs                   7.29558e-08
xdut.x2.x_73_.net5                 4.95168e-08
xdut.x2.x_73_.net6                    0.034793
